mua,mus,g,Rcd,Tcd,Tc
0.3874,18.8372,0.8296,0.2148,0.4327,0.002
0.388,18.8366,0.83,0.2142,0.433,0.002
0.3916,18.833,0.8295,0.2138,0.431,0.002
0.3855,18.8391,0.8296,0.2155,0.4333,0.002
0.3862,18.8384,0.8299,0.2153,0.4329,0.002
0.3861,18.8385,0.8298,0.2152,0.4329,0.002
0.3864,18.8382,0.8296,0.2151,0.4334,0.002
0.3903,18.8343,0.83,0.2135,0.4325,0.002
0.3855,18.8391,0.8294,0.2155,0.433,0.002
0.389,18.8356,0.8301,0.2141,0.4322,0.002
0.3898,18.8348,0.8296,0.2147,0.431,0.002
0.3889,18.8357,0.8299,0.2142,0.4322,0.002
0.3907,18.8339,0.83,0.2138,0.4319,0.002
