mua,mus,g,Rcd,Tcd,Tc
0.2092,19.937,0.6373,0.3948,0.3456,0.001
0.2038,19.9424,0.6364,0.398,0.3468,0.001
0.2035,19.9427,0.6371,0.3986,0.3471,0.001
0.1939,19.9523,0.6378,0.4013,0.3526,0.001
0.208,19.9382,0.6365,0.3961,0.3453,0.001
0.2055,19.9407,0.6372,0.3967,0.3468,0.001
0.2147,19.9315,0.6366,0.3935,0.3422,0.001
0.2033,19.9429,0.637,0.3982,0.3473,0.001
0.2097,19.9365,0.6378,0.3943,0.3455,0.001
0.2073,19.9389,0.6375,0.3952,0.3466,0.001
0.2101,19.9361,0.6374,0.3945,0.3449,0.001
0.198,19.9482,0.6361,0.4006,0.3495,0.001
0.2146,19.9316,0.6358,0.393,0.3426,0.001
0.2043,19.9419,0.6372,0.3969,0.3473,0.001
0.2006,19.9456,0.6379,0.3981,0.3499,0.001
0.1961,19.9501,0.6373,0.4009,0.3509,0.001
